PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,BATS,IDPLAYER
Adeiny Hechavarria,Adeiny,Hechavarria,MIA,SS,31049,Adeiny Hechavarria,R,hechaad01
Jae-gyun Hwang,Jae-gyun,Hwang,MIA,3B,,,,hwangja01
Tyler Moore,Tyler,Moore,MIA,OF,30635,Tyler Moore,R,moorety01
Marcell Ozuna,Marcell,Ozuna,MIA,OF,31668,Marcell Ozuna,R,ozunama01
Martin Prado,Martin,Prado,MIA,3B,6513,Martin Prado,R,pradoma01
J.T. Realmuto,J.T.,Realmuto,MIA,C,32177,J.T. Realmuto,R,realmjt01
Miguel Rojas,Miguel,Rojas,MIA,SS,30791,Miguel Rojas,R,rojasmi02
Giancarlo Stanton,Giancarlo,Stanton,MIA,OF,30583,Giancarlo Stanton,R,stantmi03
Ichiro Suzuki,Ichiro,Suzuki,MIA,OF,4570,Ichiro Suzuki,L,suzukic01
Tomas Telis,Tomas,Telis,MIA,C,,,B,telisto01
Christian Yelich,Christian,Yelich,MIA,OF,31283,Christian Yelich,L,yelicch01
Jesus Aguilar,Jesus,Aguilar,MIL,1B,32132,Jesus Aguilar,R,aguilje01
Orlando Arcia,Orlando,Arcia,MIL,SS,32530,Orlando Arcia,R,arciaor01
Jett Bandy,Jett,Bandy,MIL,C,32056,Jett Bandy,R,bandyje01
Ryan Braun,Ryan,Braun,MIL,OF,28721,Ryan Braun,R,braunry02
Lewis Brinson,Lewis,Brinson,MIL,OF,32819,Lewis Brinson,R,brinsle01
Keon Broxton,Keon,Broxton,MIL,OF,30755,Keon Broxton,R,broxtke01
Trent Clark,Trent,Clark,MIL,OF,,,L,clarktr01
Ivan De Jesus,Ivan,De Jesus,MIL,SS,30020,Ivan De Jesus,R,dejesiv02
Isan Diaz,Isan,Diaz,MIL,2B,,,L,diazis01
Ramon Flores,Ramon,Flores,MIL,OF,31617,Ramon Flores,L,florera01
Kirk Nieuwenhuis,Kirk,Nieuwenhuis,MIL,OF,30218,Kirk Nieuwenhuis,L,nieuwki01
Jacob Nottingham,Jacob,Nottingham,MIL,C,34931,Jacob Nottingham,R,nottija01
Hernan Perez,Hernan,Perez,MIL,3B,30878,Hernan Perez,R,perezhe01
